Name,Tier,Age,Archetype,Pick As,Use When Lesson Is About
Lars,Explorer,11,Instant Reward Bias,Explorer Character (default),"Impulse buys; spending birthday/chore money fast"
Mia,Explorer,12,Fairness Paralysis,Explorer Character,"Sticker price vs value; fear of being ripped off"
Holly,Pathfinder,13,Social Conformity,Pathfinder Character (default),"Peer pressure; mall trends; social spending"
Senna,Pathfinder,14,Scarcity Anxiety,Pathfinder Character,"Hoarding; saving for someone else; gift promises"
Lucas,Pathfinder,15,High-Stakes Gambler,Pathfinder Character,"Pro-gaming bets; all-in on gear or tournaments"
Dash,Maverick,17,Income Over-Confidence,Maverick Character (default),"Side hustles; marketplace; no emergency fund"
Saskia,Maverick,17,Analytical Over-Thinking,Maverick Character,"Over-planning; uni/travel savings; analysis paralysis"
Immi,Maverick,17,Financial Alienation,Maverick Character,"Parents pay for everything; generosity without cost awareness"
Eva,Mentor,Adult,Practical Realist,Support Character,"Parent voice; household budgeting; real-world money talk"
Tom,Mentor,62,Investing Phobia,Support Character,"Long-term growth; investing myths; mentor caution tales"
